GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
b7113a09-e781-4d79-a884-e6c151a7ca52,1,99bf22f0-dc0d-11ee-9480-c9ab1d947b58,f5a60bf9-26fe-4253-b552-a54e44c9baf7,2024-03-06,17:02:26.17,2024-03-06,23:02:26.17,2024-03-06T17:02:26.1790000-06:00,2024-03-06T23:02:26.1790000Z,UNO_MAV,POR_PIL,FoulBall,Undefined,NoShift,86.64196,63.45056,143.87108,39.84252,73.12287,-51.28911,143.66599,-37.15409,262.95189,-151.73028,329.53786,-18.47776,265.28646,123.69095,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,2,a5bc4a10-dc0d-11ee-9480-c9ab1d947b58,1566566a-4abe-4c18-8878-41fc10334a0f,2024-03-06,17:02:46.27,2024-03-06,23:02:46.27,2024-03-06T17:02:46.2710000-06:00,2024-03-06T23:02:46.2710000Z,UNO_MAV,POR_PIL,BallCalled,Undefined,NoShift,88.52927,63.96163,146.63319,41.59221,75.34984,-52.64781,143.07249,-39.11,259.42571,-149.84731,329.29962,-23.26133,275.43298,117.46861,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,3,ada71d40-dc0d-11ee-9480-c9ab1d947b58,e037f605-e921-4286-8f38-4906fe3e823a,2024-03-06,17:02:59.53,2024-03-06,23:02:59.53,2024-03-06T17:02:59.5380000-06:00,2024-03-06T23:02:59.5380000Z,UNO_MAV,POR_PIL,BallCalled,Undefined,NoShift,89.92975,64.34815,148.8809,40.48659,75.86908,-53.04151,143.4272,-39.86961,264.72448,-151.03716,328.62363,-22.58919,272.59414,118.26449,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,4,b6728c70-dc0d-11ee-9480-c9ab1d947b58,9f37febb-06a6-4433-8f3b-c739569ee1cd,2024-03-06,17:03:14.33,2024-03-06,23:03:14.33,2024-03-06T17:03:14.3380000-06:00,2024-03-06T23:03:14.3380000Z,UNO_MAV,POR_PIL,FoulBall,Undefined,NoShift,89.88854,65.19147,150.07594,40.03816,75.24067,-53.29655,142.77212,-38.51824,259.12403,-147.63387,327.16137,-22.7166,274.07846,119.59473,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,5,c233bc00-dc0d-11ee-9480-c9ab1d947b58,8f172146-3985-4548-bed0-79a21c9d9deb,2024-03-06,17:03:33.99,2024-03-06,23:03:33.99,2024-03-06T17:03:33.9900000-06:00,2024-03-06T23:03:33.9900000Z,UNO_MAV,POR_PIL,StrikeSwinging,Undefined,NoShift,88.3453,64.9097,149.93899,38.4108,84.79172,-61.91474,142.49011,-40.02593,259.30631,-155.38587,327.10152,-23.84109,276.09014,115.71109,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,6,d0f3fac0-dc0d-11ee-9480-c9ab1d947b58,6b4e98e3-c224-4320-b5da-8c535aaf0a94,2024-03-06,17:03:58.79,2024-03-06,23:03:58.79,2024-03-06T17:03:58.7910000-06:00,2024-03-06T23:03:58.7910000Z,UNO_MAV,POR_PIL,FoulBall,Undefined,NoShift,89.89188,67.96167,147.6453,50.12802,71.59923,-49.24311,147.78051,-32.82225,229.50861,-131.59476,322.39128,17.03089,258.11619,136.11178,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,7,dae74820-dc0d-11ee-9480-c9ab1d947b58,6e63ab07-4856-47cf-b3da-c1bae98a48e8,2024-03-06,17:04:15.44,2024-03-06,23:04:15.44,2024-03-06T17:04:15.4450000-06:00,2024-03-06T23:04:15.4450000Z,UNO_MAV,POR_PIL,InPlay,Single,NoShift,89.77032,67.11245,145.8982,50.47904,73.58871,-50.32041,146.69561,-32.83518,229.63742,-126.58781,322.52268,-10.24353,260.34711,130.36704,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,8,ee1679c0-dc0d-11ee-9480-c9ab1d947b58,5449de59-3e94-4b06-9587-559050834684,2024-03-06,17:04:47.63,2024-03-06,23:04:47.63,2024-03-06T17:04:47.6310000-06:00,2024-03-06T23:04:47.6310000Z,UNO_MAV,POR_PIL,BallCalled,Undefined,NoShift,63.1346,57.14588,143.6103,21.01668,85.47552,-62.38609,143.0936,-27.15209,273.02829,-163.20144,331.27405,-15.59379,263.47385,133.67858,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,9,0a2c1ca0-dc0e-11ee-9480-c9ab1d947b58,f759144e-b10a-4d5c-b968-3899834fb08a,2024-03-06,17:05:34.70,2024-03-06,23:05:34.70,2024-03-06T17:05:34.7030000-06:00,2024-03-06T23:05:34.7030000Z,UNO_MAV,POR_PIL,BallCalled,Undefined,NoShift,63.39845,57.15943,143.50717,21.70081,83.57186,-60.88909,140.38432,-26.38617,267.02275,-156.11333,326.19288,-17.42367,261.2136,131.87184,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,10,1544fe40-dc0e-11ee-9480-c9ab1d947b58,bd87fa29-37f0-4058-b3c5-bae1ed7a5d46,2024-03-06,17:05:53.35,2024-03-06,23:05:53.35,2024-03-06T17:05:53.3500000-06:00,2024-03-06T23:05:53.3500000Z,UNO_MAV,POR_PIL,StrikeCalled,Undefined,NoShift,63.61277,57.55613,144.62278,21.98767,86.76203,-64.25973,141.88232,-25.40845,273.97707,-159.23355,325.18011,-18.99245,262.11423,130.52955,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,11,27fc8ee0-dc0e-11ee-9480-c9ab1d947b58,1c1183af-9ea3-4acb-8662-b97f1b9585e9,2024-03-06,17:06:24.81,2024-03-06,23:06:24.81,2024-03-06T17:06:24.8190000-06:00,2024-03-06T23:06:24.8190000Z,UNO_MAV,POR_PIL,InPlay,Out,NoShift,63.92206,56.8188,145.17293,24.02801,83.12547,-61.76999,143.82996,-26.71708,275.6534,-159.0448,326.88009,-18.36563,260.78081,129.95289,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,12,40147740-dc0e-11ee-9480-c9ab1d947b58,6e8dbbc1-3a35-4d2d-a1e3-69eaba2da9ef,2024-03-06,17:07:05.13,2024-03-06,23:07:05.13,2024-03-06T17:07:05.1310000-06:00,2024-03-06T23:07:05.1310000Z,UNO_MAV,POR_PIL,StrikeSwinging,Undefined,NoShift,90.24709,68.19236,147.04588,50.50987,85.2721,-63.10302,141.25391,-23.37575,271.21797,-161.73197,334.79225,10.97313,260.98931,135.1189,,,,,,,,,,,,,,,true
b7113a09-e781-4d79-a884-e6c151a7ca52,13,4c55d350-dc0e-11ee-9480-c9ab1d947b58,2d1bbb3f-cc84-48f5-b749-9855016c37cb,2024-03-06,17:07:25.78,2024-03-06,23:07:25.78,2024-03-06T17:07:25.7840000-06:00,2024-03-06T23:07:25.7840000Z,UNO_MAV,POR_PIL,BallCalled,Undefined,NoShift,93.49774,68.52242,150.03731,47.39019,86.83724,-65.64441,147.88988,-18.97356,259.26926,-148.70224,320.64105,-19.35141,266.40272,132.70766,,,,,,,,,,,,,,,true
