PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,17:02:46.11,1,1,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.55967,0.52473,-0.98546,2056.740568,206.365343,1:00,5.97838,2.30246,6.28981,-20.79363,16.03658,7.35713,4.72922,2.00733,78.73024,-3.443837,0.344609,0.436791,,,,,,,,,,,,-4.08177,8.52587,-2.23317,50,6.00679,1.87028,-125.75323,0.58217,-6.50912,26.48965,-18.57811,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,c1a82800-e317-11ee-8229-eb35683f74ed,86.29401,,,7.82942,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:02:46.11,2024-03-15T17:02:46.1190000-05:00,2024-03-15T22:02:46.1190000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,08a23341-f878-4a96-aa2e-c9c75218c292,54.20646,-126.63621,13.24482,5.97706,1.20143,-9.28905,-2.29913,2.08725,-3.25456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-15,17:03:01.20,1,2,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.14072,0.39982,-1.43619,2096.016623,209.074875,1:00,5.88466,2.40603,6.20128,-20.11261,17.61584,9.04264,4.5778,1.83358,77.51449,-3.468261,0.195487,0.442085,,,,,,,,,,,,-5.10394,9.35926,-2.30227,50,5.90453,2.76561,-124.97038,0.33798,-7.94855,28.76583,-17.59848,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,caaa5ea0-e317-11ee-8229-eb35683f74ed,85.26058,,,8.62623,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:03:01.20,2024-03-15T17:03:01.2020000-05:00,2024-03-15T22:03:01.2020000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,414ae176-5507-458e-9ed5-96260dbe8e06,54.29331,-125.95474,14.38292,5.88266,0.94019,-8.79924,-2.40156,3.03761,-3.97428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,17:03:18.79,1,3,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,2,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.85566,-1.75256,-2.494627,1948.202241,210.207207,1:00,5.93751,2.25031,6.26124,-24.13167,14.06162,7.49729,2.30858,0.5735,77.95492,-6.290344,-1.140561,0.4448,,,,,,,,,,,,-4.56744,8.14292,-2.06888,50,5.79557,5.08371,-123.2261,-4.46645,-7.04259,23.8451,-19.61844,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,d520beb0-e317-11ee-8229-eb35683f74ed,84.74019,,,6.90074,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:03:18.79,2024-03-15T17:03:18.7990000-05:00,2024-03-15T22:03:18.7990000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,432a7b15-ce36-4510-8586-e5b859bdf496,54.23715,-124.04331,11.92255,5.93712,-3.79409,-9.80922,-2.24724,5.32508,-3.5213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-15,17:03:36.33,1,4,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.40509,0.529549,-1.344106,2067.978021,191.529017,12:30,6.01799,2.35301,6.23989,-18.27036,18.66115,3.56949,4.98407,1.41043,78.78597,-2.974614,-0.699645,0.437391,,,,,,,,,,,,-2.21429,9.85961,-2.25452,50,6.04812,2.80286,-125.53204,0.6852,-3.53073,25.58633,-16.45277,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,df9a04f0-e317-11ee-8229-eb35683f74ed,86.1756,,,7.61913,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:03:36.33,2024-03-15T17:03:36.3380000-05:00,2024-03-15T22:03:36.3380000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,77eecab8-35d6-41f6-b8ec-a150f6b54ddf,54.25638,-126.39662,12.79316,6.01557,1.24115,-8.22638,-2.35125,2.92217,-1.76537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-15,17:03:52.59,1,5,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schwabe, Cadyn",1000133734,Left,NOR_BIS,Undefined,1,Top,0,3,1,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,85.1075,-1.25433,-3.170365,2050.301282,197.963169,12:30,5.81519,2.31237,6.28338,-18.263,19.79785,6.02579,3.13527,-0.11043,77.80373,-4.751577,-2.083515,0.444028,,,,,,,,,,,,-4.0026,10.99532,-2.0812,50,5.71348,6.60952,-123.50776,-3.1716,-6.1843,24.53396,-15.18547,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,e9496b80-e317-11ee-8229-eb35683f74ed,84.88749,,,7.30377,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:03:52.59,2024-03-15T17:03:52.5930000-05:00,2024-03-15T22:03:52.5930000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,4c2a2e03-5a7b-4acf-98f2-abcdbbcac445,54.21404,-124.34203,12.26698,5.81255,-2.65522,-7.59273,-2.30953,6.81982,-3.09215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,17:04:27.01,2,1,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.13856,-0.178903,-1.897813,2008.271076,218.499495,1:15,5.85614,2.28409,6.30541,-23.4356,14.81391,10.74335,3.73826,1.43035,77.16641,-4.638443,0.044619,0.445128,,,,,,,,,,,,-6.14272,8.13804,-2.14969,50,5.83174,3.67831,-123.60712,-1.03645,-9.41421,26.8019,-19.70189,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,fdd12840-e317-11ee-8229-eb35683f74ed,84.67784,,,7.97215,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:04:27.01,2024-03-15T17:04:27.0120000-05:00,2024-03-15T22:04:27.0120000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,15fd57da-07ab-4bed-8202-18621bc1fc71,54.19116,-124.51258,13.40095,5.85552,-0.37085,-9.85095,-2.27933,3.99636,-4.70711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-15,17:05:00.79,2,2,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,1,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.75356,-2.552813,-2.772807,2079.13228,217.209039,1:15,5.90678,2.08851,6.31866,-21.60068,15.7345,11.06627,1.75118,0.45487,78.834,-6.629266,-0.772266,0.439775,,,,,,,,,,,,-6.52095,9.23875,-1.89081,50,5.70939,5.61134,-124.47341,-6.15856,-10.26575,24.18505,-17.6297,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,11eeffa0-e318-11ee-8229-eb35683f74ed,85.70844,,,6.91956,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:05:00.79,2024-03-15T17:05:00.7970000-05:00,2024-03-15T22:05:00.7970000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,fafc5c80-5df9-45ed-832a-74112d02829d,54.18061,-125.28307,12.09253,5.90569,-5.56837,-8.81485,-2.08442,5.95501,-5.13287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-15,17:05:43.88,2,3,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,1,1,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.67344,-1.084071,-1.381394,2136.088792,214.817578,1:15,5.9911,2.0235,6.301,-21.62505,16.00438,10.26296,3.18981,1.60577,78.01877,-5.198112,0.474947,0.441505,,,,,,,,,,,,-5.70756,9.00331,-1.9266,50,5.90097,2.5982,-124.43264,-2.9476,-8.90262,26.16833,-18.13075,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,2b9b91c0-e318-11ee-8229-eb35683f74ed,85.37271,,,7.65467,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:05:43.88,2024-03-15T17:05:43.8880000-05:00,2024-03-15T22:05:43.8880000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,f01bdaa0-c27a-4a8a-b8ee-85013a7bfb4b,54.19557,-125.31186,13.08417,5.98978,-2.33843,-9.06537,-2.01892,2.89732,-4.45131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-15,17:06:06.42,2,4,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,2,1,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.70042,-0.424318,-3.156124,2071.483233,217.620697,1:15,5.9865,1.95767,6.43971,-23.06556,15.32765,10.82375,3.67385,-0.0435,76.99296,-4.819021,-1.197173,0.445963,,,,,,,,,,,,-6.56481,8.51205,-1.73785,50,5.94582,6.36811,-122.916,-1.52775,-9.98344,25.72057,-19.22931,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,390b5bb0-e318-11ee-8229-eb35683f74ed,84.51926,,,7.70746,,,,,,,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:06:06.42,2024-03-15T17:06:06.4260000-05:00,2024-03-15T22:06:06.4260000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,0111ff1d-5257-483d-a479-0a14c572b9f1,54.0573,-123.76209,12.86029,5.98567,-0.89519,-9.61466,-1.95274,6.69652,-4.99172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-15,17:06:45.81,2,5,"Bell, Charlie",1000213096,Right,UNO_MAV,"Schaffner, Jake",1000092397,Left,NOR_BIS,Undefined,1,Top,0,3,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,84.79196,-2.148644,-3.132623,2091.93504,196.674554,12:30,5.95816,2.18334,6.38302,-18.6691,19.58501,5.49654,2.42196,-0.24322,77.56223,-5.719701,-2.139138,0.445154,87.28705,62.315841,24.745789,3532.458717,,,,,75.16359,,,-3.78355,11.23528,-1.96023,50,5.7945,6.53469,-123.04346,-5.09774,-5.79161,24.75889,-14.97586,UNO_MAV,NOR_BIS,TalAndersonField,D1,SUM,20240315-TalAndersonField-1,5083cfc0-e318-11ee-8229-eb35683f74ed,84.67279,134.53518,,7.22974,,,,3.75684,2.64165,0.13945,fba908c5-f5fa-4988-acd7-79a160be6040,2024-03-15,22:06:45.81,2024-03-15T17:06:45.8180000-05:00,2024-03-15T22:06:45.8180000Z,,v3,471375,471388,,"Burkhalter, Trenton",10303335,Right,UNO_MAV,a03b52e0-f5a9-4c36-ab7e-c92ea48b8f30,54.11654,-123.86902,12.37945,5.95616,-4.59839,-7.48793,-2.18134,6.72781,-2.89581,177.23278,3.75685,54.01622,-15.59776,4.66007,-1.11767,0.19864,-0.00201,-0.01094,0.00211,2.64165,113.36538,-26.92895,3.18333,-0.62056,0.14836,-0.05191,0.01472,-0.00193,0.13945,24.89707,-8.24334,2.07716,-0.44749,0.08618,-0.0101,-0.00049,0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
