PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,12:20:59.59,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,82.7102,-1.952489,-4.765058,1993.055371,196.779262,12:30,5.8033,3.33328,6.7614,-29.43002,10.24776,2.71914,1.56071,-0.80213,76.11727,-7.47822,-4.271423,0.453362,,,,,,,,,,,,-2.76122,6.343,-3.02204,50,5.66386,9.9019,-119.8876,-4.87702,-4.02225,22.98792,-22.93426,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,648ee9a0-e2f0-11ee-b371-1fbe466273f8,83.13985,,,6.59293,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:20:59.59,2024-03-15T12:20:59.5907354-05:00,2024-03-15T17:20:59.5907354Z,,v3,471375,471375,,,,Undefined,UNO_MAV,3fce444f-0c04-4ac1-b19d-cb24dff1de11,53.73775,-120.60217,11.49396,5.80438,-4.16412,-11.46713,-3.33178,10.02692,-2.01113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-15,12:21:18.29,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,,82.13292,-1.999393,-4.936263,2030.340874,194.184171,12:30,5.81812,3.17721,6.68782,-28.91155,11.37631,2.56555,1.57265,-1.13485,75.73712,-7.420185,-4.471482,0.456834,,,,,,,,,,,,-2.68162,6.9291,-2.84832,50,5.67273,10.19178,-119.01729,-4.93432,-3.86011,22.08158,-22.19983,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,6fcf0250-e2f0-11ee-b371-1fbe466273f8,82.50795,,,6.39581,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:21:18.29,2024-03-15T12:21:18.2972186-05:00,2024-03-15T17:21:18.2972186Z,,v3,471375,471375,,,,Undefined,UNO_MAV,9f73f8d4-f04b-4305-9035-0d5348c1201c,53.811,-119.72227,11.04079,5.81895,-4.22557,-11.09992,-3.17567,10.31501,-1.93006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,12:21:40.21,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,74.52522,1.810152,-1.163283,1815.16128,72.628759,8:30,6.03817,2.94281,5.83348,-54.30739,-4.09847,-17.7932,3.19599,0.37863,68.92488,-8.130948,-4.355219,0.50999,,,,,,,,,,,,8.76461,-2.0989,-2.83753,50,6.15399,2.83079,-108.32501,1.75816,10.44262,18.44018,-34.67479,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,7cdb0160-e2f0-11ee-b371-1fbe466273f8,73.90815,,,5.60034,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:21:40.21,2024-03-15T12:21:40.2122522-05:00,2024-03-15T17:21:40.2122522Z,,v3,471375,471375,,,,Undefined,UNO_MAV,4172f2aa-faae-445f-a869-ef196f9bbc42,54.66859,-109.11684,9.22009,6.04653,3.24713,-17.3374,-2.94946,2.38238,5.22131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-15,12:22:46.66,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,81.6328,1.394589,-2.680062,1498.81257,219.786183,1:15,5.27322,2.72513,5.28096,-34.43419,8.1452,5.76977,3.71511,0.68715,75.23371,-4.910549,-1.658116,0.469647,,,,,,,,,,,,-3.55693,4.10398,-2.48493,50,5.37532,5.30662,-118.45908,1.69296,-5.10554,20.47554,-26.28329,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,a4784d40-e2f0-11ee-b371-1fbe466273f8,80.25704,,,6.39909,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:22:46.66,2024-03-15T12:22:46.6648858-05:00,2024-03-15T17:22:46.6648858Z,,v3,471375,471375,,,,Undefined,UNO_MAV,5aaaea51-9fb0-49f3-b7c1-60833ec00367,55.21804,-119.35761,10.23777,5.27573,2.84635,-13.14165,-2.72271,5.53066,-2.55277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-15,12:22:54.67,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,78.22506,-1.692241,-5.256093,1058.431006,269.417821,3:00,5.10346,2.8397,5.56416,-44.82172,1.55008,12.82497,-0.21971,-1.01561,72.38529,-9.827901,-2.976256,0.490116,,,,,,,,,,,,-7.95713,1.6048,-2.39393,50,4.92691,9.93562,-113.1927,-4.81719,-10.36573,19.8729,-30.08349,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,a92cd4a0-e2f0-11ee-b371-1fbe466273f8,76.90521,,,5.83977,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:22:54.67,2024-03-15T12:22:54.6773274-05:00,2024-03-15T17:22:54.6773274Z,,v3,471375,471375,,,,Undefined,UNO_MAV,390a6974-d6f9-4685-9d7a-33593c694ca4,54.9373,-114.05623,9.93645,5.10782,-3.50997,-15.04175,-2.83545,10.38604,-5.18286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,12:23:08.11,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,79.91616,-2.454373,-7.491679,1292.571785,259.849799,2:45,5.13077,2.83034,5.59991,-40.33305,4.10756,15.72942,-0.5428,-2.89306,74.32647,-9.755241,-4.714692,0.479801,,,,,,,,,,,,-9.93493,2.98815,-2.19608,50,4.89184,14.56878,-115.19279,-6.29284,-13.51495,18.90887,-28.10915,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,b143c0e0-e2f0-11ee-b371-1fbe466273f8,78.55847,,,5.58969,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:23:08.11,2024-03-15T12:23:08.1168154-05:00,2024-03-15T17:23:08.1168154Z,,v3,471375,471375,,,,Undefined,UNO_MAV,299166a7-6a87-43a0-89f6-922c8363a055,54.90302,-115.99482,9.45444,5.13347,-5.10057,-14.05457,-2.82618,15.14202,-6.75748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-15,12:23:20.29,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,77.13643,0.841283,-2.855406,1225.891015,280.298773,3:15,5.13133,2.85772,5.4381,-48.51192,-1.03768,13.3332,1.87749,1.29281,71.33295,-7.984897,-0.482539,0.495907,,,,,,,,,,,,-7.46516,-0.33028,-2.6145,50,5.17201,5.07765,-111.99789,0.03255,-9.55077,18.85363,-32.59658,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,b8903130-e2f0-11ee-b371-1fbe466273f8,76.00701,,,5.80347,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:23:20.29,2024-03-15T12:23:20.2958106-05:00,2024-03-15T17:23:20.2958106Z,,v3,471375,471375,,,,Undefined,UNO_MAV,09ae369d-6d9a-49a8-849b-f096a22e6444,55.0633,-112.84702,9.42682,5.13748,1.50064,-16.29829,-2.85287,5.50781,-4.77538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-15,12:23:30.16,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.21447,0.572632,-1.174864,1621.816281,232.676427,1:45,5.02084,2.81848,5.37533,-33.05132,7.63914,8.51705,2.80353,2.42665,76.90076,-5.48456,0.339409,0.459111,,,,,,,,,,,,-4.57634,4.05114,-2.7195,50,5.04868,2.12695,-120.93206,0.05374,-6.85238,21.12855,-26.10809,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,be56ebe0-e2f0-11ee-b371-1fbe466273f8,82.09874,,,6.31371,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:23:30.16,2024-03-15T12:23:30.1631258-05:00,2024-03-15T17:23:30.1631258Z,,v3,471375,471375,,,,Undefined,UNO_MAV,f070ea92-e642-4c79-8c87-d2bff819e1a6,55.1243,-121.82406,10.56428,5.02314,1.15596,-13.05404,-2.81541,2.41624,-3.42619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6989,2.143059,0.855706,1.287354,-0.10475,2.65493,-2.43623,2.15288,5.39641,0.70487,127.28538,9.06492,4.00847,2.57026,110.20042,-10.23305,5.5035,19.19008,-12.7236,0.36895,-3.63922,4.9322,High,High,High,,,High,High,High
9,2024-03-15,12:24:00.72,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,76.76651,2.85442,-0.846342,1450.563348,76.740319,8:30,5.12702,2.76489,5.09893,-50.312,-1.83701,-13.55792,3.62666,0.83748,70.92666,-6.255223,-3.242501,0.501107,,,,,,,,,,,,6.51146,-1.18685,-2.67399,50,5.35708,2.18794,-111.42211,3.79972,8.26284,18.25566,-33.68014,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,d09247a0-e2f0-11ee-b371-1fbe466273f8,75.21839,,,5.83985,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:24:00.72,2024-03-15T12:24:00.7202586-05:00,2024-03-15T17:24:00.7202586Z,,v3,471375,471375,,,,Undefined,UNO_MAV,c1cbdfba-4055-496e-85b0-8df9acad0922,55.40216,-112.30373,9.12783,5.13431,5.42623,-16.84007,-2.77001,1.78891,4.13142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-15,12:24:11.78,,,"Navin, Carter",10109272,Right,UNO_MAV,"Navin, Carter",10109272,Right,UNO_MAV,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.28106,-0.606591,-2.918646,1765.070091,246.067727,2:15,4.99472,2.57993,5.53652,-34.54289,6.15555,11.08784,1.54842,0.77355,76.66062,-6.943576,-0.942936,0.459156,,,,,,,,,,,,-6.40567,3.63236,-2.33423,50,4.91895,5.71331,-120.86654,-2.46487,-9.51798,22.57727,-26.77687,UNO_MAV,UNO_MAV,TalAndersonField,TeamExclusive,Team,20240315-TalAndersonField-Private-4,d72504e0-e2f0-11ee-b371-1fbe466273f8,82.09067,,,6.62044,,,,,,,de3fa74e-f764-4209-b1b5-01a4bddca3e4,2024-03-15,17:24:11.78,2024-03-15T12:24:11.7852954-05:00,2024-03-15T17:24:11.7852954Z,,v3,471375,471375,,,,Undefined,UNO_MAV,7a2e4a03-79f6-487a-91c3-44460072534a,54.96341,-121.79015,11.28864,4.99738,-1.36946,-13.38844,-2.57592,6.10268,-4.75899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
