GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
fba908c5-f5fa-4988-acd7-79a160be6040,1,c1a82800-e317-11ee-8229-eb35683f74ed,08a23341-f878-4a96-aa2e-c9c75218c292,2024-03-15,17:02:46.11,2024-03-15,22:02:46.11,2024-03-15T17:02:46.1190000-05:00,2024-03-15T22:02:46.1190000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,72.93381,53.60423,139.12289,43.05872,64.99963,-43.73403,142.03824,-36.01705,247.84048,-133.09619,320.78082,15.69238,254.40772,137.16973,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,2,caaa5ea0-e317-11ee-8229-eb35683f74ed,414ae176-5507-458e-9ed5-96260dbe8e06,2024-03-15,17:03:01.20,2024-03-15,22:03:01.20,2024-03-15T17:03:01.2020000-05:00,2024-03-15T22:03:01.2020000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,74.94426,54.93438,140.93169,43.50018,66.79162,-45.75376,141.03234,-36.28731,246.73645,-131.73399,319.80173,15.92081,255.98092,136.84587,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,3,d520beb0-e317-11ee-8229-eb35683f74ed,432a7b15-ce36-4510-8586-e5b859bdf496,2024-03-15,17:03:18.79,2024-03-15,22:03:18.79,2024-03-15T17:03:18.7990000-05:00,2024-03-15T22:03:18.7990000Z,UNO_MAV,NOR_BIS,StrikeCalled,Undefined,NoShift,72.3937,53.77447,146.71288,44.85957,67.1951,-47.02287,143.77241,-34.47884,256.44682,-136.48918,322.60818,16.17894,255.72499,138.08297,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,4,df9a04f0-e317-11ee-8229-eb35683f74ed,77eecab8-35d6-41f6-b8ec-a150f6b54ddf,2024-03-15,17:03:36.33,2024-03-15,22:03:36.33,2024-03-15T17:03:36.3380000-05:00,2024-03-15T22:03:36.3380000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,74.45689,53.70001,142.95569,42.97657,67.86072,-47.11287,144.06489,-34.20711,247.82473,-132.14011,321.031,15.45324,255.93011,136.81352,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,5,e9496b80-e317-11ee-8229-eb35683f74ed,4c2a2e03-5a7b-4acf-98f2-abcdbbcac445,2024-03-15,17:03:52.59,2024-03-15,22:03:52.59,2024-03-15T17:03:52.5930000-05:00,2024-03-15T22:03:52.5930000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,75.1463,54.92063,143.23028,43.54989,74.16382,-50.87462,146.25148,-35.03917,244.10791,-129.42432,322.06351,14.43095,257.4063,139.65128,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,6,fdd12840-e317-11ee-8229-eb35683f74ed,15fd57da-07ab-4bed-8202-18621bc1fc71,2024-03-15,17:04:27.01,2024-03-15,22:04:27.01,2024-03-15T17:04:27.0120000-05:00,2024-03-15T22:04:27.0120000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,63.72565,60.4159,139.74123,32.28409,67.09704,-46.90432,139.75517,-24.26093,248.94416,-133.9627,323.16552,15.31374,260.05967,141.30922,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,7,11eeffa0-e318-11ee-8229-eb35683f74ed,fafc5c80-5df9-45ed-832a-74112d02829d,2024-03-15,17:05:00.79,2024-03-15,22:05:00.79,2024-03-15T17:05:00.7970000-05:00,2024-03-15T22:05:00.7970000Z,UNO_MAV,NOR_BIS,StrikeCalled,Undefined,NoShift,64.29444,60.01445,138.53978,32.48385,67.72262,-47.66007,139.69735,-25.05478,248.90988,-131.86062,321.60952,14.41639,255.69186,137.65876,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,8,2b9b91c0-e318-11ee-8229-eb35683f74ed,f01bdaa0-c27a-4a8a-b8ee-85013a7bfb4b,2024-03-15,17:05:43.88,2024-03-15,22:05:43.88,2024-03-15T17:05:43.8880000-05:00,2024-03-15T22:05:43.8880000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,63.67258,60.34145,139.9472,32.36021,66.93591,-46.93997,143.29315,-25.38385,250.47326,-135.17891,320.85507,13.96255,256.75268,135.81442,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,9,390b5bb0-e318-11ee-8229-eb35683f74ed,0111ff1d-5257-483d-a479-0a14c572b9f1,2024-03-15,17:06:06.42,2024-03-15,22:06:06.42,2024-03-15T17:06:06.4260000-05:00,2024-03-15T22:06:06.4260000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,63.84019,60.21392,140.23303,30.71656,68.01259,-48.99373,140.25613,-25.16426,249.18346,-134.38182,325.31766,14.18737,256.30069,136.08925,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,10,5083cfc0-e318-11ee-8229-eb35683f74ed,a03b52e0-f5a9-4c36-ab7e-c92ea48b8f30,2024-03-15,17:06:45.81,2024-03-15,22:06:45.81,2024-03-15T17:06:45.8180000-05:00,2024-03-15T22:06:45.8180000Z,UNO_MAV,NOR_BIS,InPlay,Out,NoShift,63.685,59.54768,137.66025,29.54147,67.20113,-49.13956,140.3639,-25.74323,254.51455,-137.52542,324.23138,13.40488,255.87286,135.48119,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,11,679fa4e0-e318-11ee-8229-eb35683f74ed,18e1cdc2-3afd-466d-9063-810f95875972,2024-03-15,17:07:24.54,2024-03-15,22:07:24.54,2024-03-15T17:07:24.5440000-05:00,2024-03-15T22:07:24.5440000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,64.0846,59.91642,142.33896,25.78065,67.95099,-48.03977,139.04654,-28.90726,274.47158,-161.76502,323.81858,-12.2667,257.80079,136.5678,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,12,7ec2f410-e318-11ee-8229-eb35683f74ed,999a1dba-6767-4565-8c70-e758b1ed2720,2024-03-15,17:08:03.36,2024-03-15,22:08:03.36,2024-03-15T17:08:03.3690000-05:00,2024-03-15T22:08:03.3690000Z,UNO_MAV,NOR_BIS,FoulBallNotFieldable,Undefined,NoShift,63.2211,60.33961,141.43855,24.84243,67.72527,-48.70574,142.45789,-28.66946,261.97841,-152.57482,318.55422,-12.53786,260.29995,135.13245,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,13,9d119700-e318-11ee-8229-eb35683f74ed,68f507ad-8b53-4df4-9697-98620a8ef8c1,2024-03-15,17:08:54.19,2024-03-15,22:08:54.19,2024-03-15T17:08:54.1910000-05:00,2024-03-15T22:08:54.1910000Z,UNO_MAV,NOR_BIS,BallCalled,Undefined,NoShift,88.11009,62.39512,151.51764,30.58683,70.37589,-46.72686,142.16031,-34.50106,262.05455,-151.61307,324.73145,-15.59636,258.98758,135.25713,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,14,a74bff80-e318-11ee-8229-eb35683f74ed,ed6e42ba-e15f-4544-af4e-ef69400acb33,2024-03-15,17:09:11.39,2024-03-15,22:09:11.39,2024-03-15T17:09:11.3920000-05:00,2024-03-15T22:09:11.3920000Z,UNO_MAV,NOR_BIS,InPlay,Out,NoShift,89.21652,62.9038,150.52154,30.61142,70.6224,-48.12351,143.52319,-36.48936,259.36331,-147.90808,326.55775,-15.52423,261.54296,136.11834,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,15,fa6271e0-e318-11ee-8229-eb35683f74ed,76fe6624-729a-4940-8525-1dabaa31b164,2024-03-15,17:11:30.79,2024-03-15,22:11:30.79,2024-03-15T17:11:30.7910000-05:00,2024-03-15T22:11:30.7910000Z,NOR_BIS,UNO_MAV,FoulBallNotFieldable,Undefined,NoShift,96.80806,70.16932,148.98562,31.97998,67.59772,-50.40542,144.00907,-39.78737,274.16982,-137.9677,331.92887,23.59191,262.00711,138.43886,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,16,08287220-e319-11ee-8229-eb35683f74ed,686fc524-c09b-4bf4-bc59-9dab21b3cdfb,2024-03-15,17:11:53.92,2024-03-15,22:11:53.92,2024-03-15T17:11:53.9280000-05:00,2024-03-15T22:11:53.9280000Z,NOR_BIS,UNO_MAV,InPlay,Out,NoShift,95.55723,71.7101,148.21576,38.77533,70.24526,-52.16822,143.89287,-40.10639,275.50936,-140.49185,334.86328,24.68103,255.02935,142.88423,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,17,1af75b50-e319-11ee-8229-eb35683f74ed,1b2baf7b-633b-4744-98b2-2ddbae995586,2024-03-15,17:12:25.47,2024-03-15,22:12:25.47,2024-03-15T17:12:25.4760000-05:00,2024-03-15T22:12:25.4760000Z,NOR_BIS,UNO_MAV,FoulBallNotFieldable,Undefined,NoShift,95.01119,71.41182,150.49245,30.16573,86.32823,-64.9236,145.32727,-39.69512,280.0294,-144.15199,340.80253,2.82389,263.30752,138.72228,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,18,254dd750-e319-11ee-8229-eb35683f74ed,5fd150db-e312-4997-aed5-824dadfe8a30,2024-03-15,17:12:42.80,2024-03-15,22:12:42.80,2024-03-15T17:12:42.8080000-05:00,2024-03-15T22:12:42.8080000Z,NOR_BIS,UNO_MAV,FoulBallNotFieldable,Undefined,NoShift,95.04967,72.8079,147.35407,38.12951,87.61849,-66.61876,144.97494,-39.55679,281.08416,-144.05752,343.04018,12.99509,260.66108,150.01176,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,19,2ef32bc0-e319-11ee-8229-eb35683f74ed,7b021330-09bd-4f87-9730-547756d5de79,2024-03-15,17:12:58.98,2024-03-15,22:12:58.98,2024-03-15T17:12:58.9850000-05:00,2024-03-15T22:12:58.9850000Z,NOR_BIS,UNO_MAV,BallCalled,Undefined,NoShift,95.67459,72.90164,150.24159,34.60302,90.35972,-67.49531,144.67852,-38.13351,281.53486,-144.27238,342.19726,17.80927,258.54485,149.09704,,,,,,,,,,,,,,,true
fba908c5-f5fa-4988-acd7-79a160be6040,20,36680ba0-e319-11ee-8229-eb35683f74ed,b9684ba4-ebf9-4549-9543-1dfb9b01591c,2024-03-15,17:13:11.45,2024-03-15,22:13:11.45,2024-03-15T17:13:11.4550000-05:00,2024-03-15T22:13:11.4550000Z,NOR_BIS,UNO_MAV,FoulBallNotFieldable,Undefined,NoShift,95.42802,72.82879,150.71941,36.54496,89.71587,-66.94184,146.26721,-40.00732,284.57105,-144.88706,344.60113,19.14196,258.74613,149.30926,,,,,,,,,,,,,,,true
