PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-09,18:01:55.28,1,1,"Navin, Carter",10109272,Right,UNO_MAV,"Sailors, Nolan",1000121572,Left,CRE_BLU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.40944,-2.279445,-2.78333,2199.027241,213.685734,1:00,6.09044,2.07978,6.12839,-20.32702,14.81544,9.03449,2.28591,0.25786,80.84628,-6.139237,-1.15635,0.426665,,,,,,,,,,,,-5.58815,8.75556,-1.8717,50,5.90551,5.93314,-129.57289,-5.7658,-9.36878,30.57146,-17.49499,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,296a0bf0-f6c5-11ee-89a6-f7595bcc1ba4,88.34193,,,8.56316,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:01:55.28,2024-04-09T18:01:55.2883316-05:00,2024-04-09T23:01:55.2883316Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,8b3ade8a-cb55-4b86-a522-1085e977ee15,54.36967,-130.5998,15.28573,6.08931,-5.17814,-8.7475,-2.07628,6.24784,-4.68439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-09,18:02:09.03,1,2,"Navin, Carter",10109272,Right,UNO_MAV,"Sailors, Nolan",1000121572,Left,CRE_BLU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.05624,-3.392896,-3.210179,2140.665294,209.906665,1:00,6.01793,2.44209,6.2986,-18.32147,15.61154,8.3743,1.35642,0.17905,82.82049,-6.854169,-1.698205,0.419259,,,,,,,,,,,,-5.20422,9.34709,-2.20991,50,5.75906,6.98725,-130.56265,-8.27727,-9.02361,26.33152,-15.96707,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,319a2580-f6c5-11ee-89a6-f7595bcc1ba4,89.90247,,,7.23575,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:02:09.03,2024-04-09T18:02:09.0322548-05:00,2024-04-09T23:02:09.0322548Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,60a4b133-9dbd-4075-9b9d-93d63db25009,54.20015,-131.40699,13.16576,6.01627,-7.76527,-7.98353,-2.43861,7.2766,-4.5118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-09,18:02:21.27,1,3,"Navin, Carter",10109272,Right,UNO_MAV,"Sailors, Nolan",1000121572,Left,CRE_BLU,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.59701,1.689578,-2.019261,2011.65981,81.765282,8:45,6.09142,2.4352,5.69108,-42.42105,0.69504,-3.85697,4.13243,0.23109,74.25382,-6.091495,-2.708157,0.472597,,,,,,,,,,,,1.43161,0.30559,-2.26298,50,6.20695,4.27718,-117.04638,2.04053,1.99777,20.86976,-31.74759,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,38efe4a0-f6c5-11ee-89a6-f7595bcc1ba4,79.75598,,,6.34319,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:02:21.27,2024-04-09T18:02:21.2737140-05:00,2024-04-09T23:02:21.2737140Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,bffba110-b7af-40a9-9d99-4328272cfe5d,54.80863,-117.90065,10.43488,6.09683,3.34008,-15.8738,-2.43639,4.1954,0.99889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-04-09,18:02:35.62,1,4,"Navin, Carter",10109272,Right,UNO_MAV,"Sailors, Nolan",1000121572,Left,CRE_BLU,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.14734,-2.034385,-1.712223,2125.869009,206.645834,1:00,6.1156,2.26788,6.20637,-18.12387,16.89552,7.87556,2.72593,1.34334,80.94755,-5.497564,-0.290518,0.425918,,,,,,,,,,,,-4.57488,9.7093,-2.14305,50,5.95358,3.54152,-129.34617,-5.098,-7.68825,29.00039,-15.85719,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,4171c7b0-f6c5-11ee-89a6-f7595bcc1ba4,88.49699,,,8.19979,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:02:35.62,2024-04-09T18:02:35.6292212-05:00,2024-04-09T23:02:35.6292212Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,7a6bb633-7247-4df3-813b-f96105cd84fc,54.28997,-130.30446,14.50019,6.11338,-4.57401,-7.92859,-2.26427,3.79557,-3.84412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-04-09,18:02:52.41,1,5,"Navin, Carter",10109272,Right,UNO_MAV,"Sailors, Nolan",1000121572,Left,CRE_BLU,Undefined,1,Top,0,3,1,Fastball,Four-Seam,HitByPitch,Walk,Undefined,Undefined,0,0,,89.65968,-1.925558,-5.469181,2099.792778,208.46265,1:00,6.11029,2.11952,6.39547,-21.14966,13.10501,6.53052,2.56814,-2.38155,82.29915,-5.908748,-4.294696,0.421242,,,,,,,,,,,,-4.94555,7.70024,-1.729,50,5.96159,12.18264,-129.79987,-5.0022,-8.45855,26.5274,-19.00403,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,4b78eb30-f6c5-11ee-89a6-f7595bcc1ba4,89.47938,,,7.36053,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:02:52.41,2024-04-09T18:02:52.4184180-05:00,2024-04-09T23:02:52.4184180Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,e5302e23-3ee4-477b-b37d-a388f67ab987,54.10544,-130.6362,13.2637,6.10986,-4.40305,-9.50201,-2.11729,12.44931,-4.22928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-04-09,18:03:24.47,2,1,"Navin, Carter",10109272,Right,UNO_MAV,"Clifford, Nolan",1000099330,Left,CRE_BLU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.59815,-0.293788,-2.213849,2164.496737,210.747131,1:00,6.0239,2.56815,6.33696,-19.28596,16.7967,9.26107,4.14604,1.30057,79.36374,-3.994515,-0.539233,0.432335,,,,,,,,,,,,-5.46733,9.18221,-2.41098,50,5.99323,4.54601,-127.16014,-1.16677,-8.87378,28.20088,-17.27087,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,5e95a640-f6c5-11ee-89a6-f7595bcc1ba4,87.18339,,,8.23442,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:03:24.47,2024-04-09T18:03:24.4720000-05:00,2024-04-09T23:03:24.4720000Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,f93f8528-5871-48e6-b23d-427717b09a60,54.15941,-128.07927,14.10044,6.02209,-0.60387,-8.63543,-2.56386,4.83523,-4.43689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.50235,1.756336,0.765491,0.990845,-0.97349,3.97498,-1.27966,-1.83535,6.13876,0.52547,66.2459,2.16532,58.53314,-1.76164,75.97368,-7.40176,6.15818,8.06288,-12.20262,0.54971,61.52846,-3.03574,High,High,High,,,High,Medium,Medium
7,2024-04-09,18:03:45.51,2,2,"Navin, Carter",10109272,Right,UNO_MAV,"Clifford, Nolan",1000099330,Left,CRE_BLU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.80488,-0.823632,-1.826429,2054.863924,208.087999,1:00,6.12418,2.31441,6.14464,-20.08355,17.16619,8.44166,3.68902,1.32957,78.21373,-4.671528,-0.304789,0.439272,,,,,,,,,,,,-4.90843,9.5026,-2.17935,50,6.05106,3.66569,-125.88746,-2.36017,-7.7587,29.12943,-17.15336,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,6b206760-f6c5-11ee-89a6-f7595bcc1ba4,85.80666,,,8.59115,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:03:45.51,2024-04-09T18:03:45.5133812-05:00,2024-04-09T23:03:45.5133812Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,3f04bb57-88e4-4827-95c3-ad4e3504fd49,54.34983,-126.88999,14.56472,6.12213,-1.76982,-8.57668,-2.3101,3.93271,-3.87935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-04-09,18:04:05.16,2,3,"Navin, Carter",10109272,Right,UNO_MAV,"Clifford, Nolan",1000099330,Left,CRE_BLU,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.01249,-0.485839,-4.083928,2075.08026,220.00667,1:15,6.11345,2.34555,6.06335,-22.44068,14.85202,11.33158,3.7926,-0.49619,78.37908,-4.748513,-2.05108,0.439525,,,,,,,,,,,,-7.08618,8.18166,-2.03403,50,6.06378,8.51948,-125.94695,-1.72819,-11.22391,28.89996,-19.21502,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,76d8bd50-f6c5-11ee-89a6-f7595bcc1ba4,85.75725,,,8.63341,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:04:05.16,2024-04-09T18:04:05.1634292-05:00,2024-04-09T23:04:05.1634292Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,5305895f-350d-4166-8ddb-12afb75f8a18,54.43171,-126.95979,14.44998,6.11254,-1.05478,-9.60751,-2.33949,8.91284,-5.61196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-04-09,18:04:25.05,2,4,"Navin, Carter",10109272,Right,UNO_MAV,"Clifford, Nolan",1000099330,Left,CRE_BLU,Undefined,1,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.97936,-2.480317,-3.412432,2141.252222,223.792973,1:30,6.10016,2.39431,6.07362,-21.17336,15.17824,13.31079,2.03514,0.34225,79.68884,-6.489964,-1.0193,0.433943,,,,,,,,,,,,-7.87752,8.9617,-2.13676,50,5.89658,7.04267,-127.39255,-6.15185,-12.80569,28.80815,-17.60595,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,82abee40-f6c5-11ee-89a6-f7595bcc1ba4,86.86025,,,8.29053,,,,,,,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:04:25.05,2024-04-09T18:04:25.0535540-05:00,2024-04-09T23:04:25.0535540Z,,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,4e4a6ebc-5fcc-424e-8b14-f782788ab0e3,54.42278,-128.3888,14.40408,6.0988,-5.543,-8.80298,-2.38797,7.48553,-6.40285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-09,18:04:40.50,2,5,"Navin, Carter",10109272,Right,UNO_MAV,"Clifford, Nolan",1000099330,Left,CRE_BLU,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,86.80545,-2.223678,-2.789472,2021.480136,214.151246,1:15,6.16088,2.50325,6.05559,-21.51938,15.68095,9.76831,2.30584,0.73324,78.89466,-6.292513,-1.032617,0.43898,90.55887,19.656127,-12.807503,2450.058775,105.70667,34.0532,-30.431,290.68367,280.56749,-20.710756,3.566101,-5.89504,9.13422,-2.29166,50,5.97638,5.74136,-125.83898,-5.52344,-9.37508,27.4947,-17.64763,UNO_MAV,CRE_BLU,TalAndersonField,D1,SUM,20240409-TalAndersonField-1,8bdf1ff0-f6c5-11ee-89a6-f7595bcc1ba4,85.86367,39.97806,,7.91079,,,,1.518,2.34216,-0.73332,0b4ba822-10d0-4571-a5f2-e48054479b41,2024-04-09,23:04:40.50,2024-04-09T18:04:40.5042804-05:00,2024-04-09T23:04:40.5042804Z,LineDrive,v3,471375,471278,,"Dick, Cardel",1000197604,Right,UNO_MAV,ded447e7-cd6d-4d77-b55d-a5a8042d6061,54.4424,-126.80589,13.74735,6.15971,-4.90282,-8.82382,-2.49937,6.07106,-4.68754,145.650107,1.51789,121.97311,-24.20564,5.64925,-1.1691,0.20167,-0.02652,0.0021,-4E-05,2.34224,44.67231,-13.16635,-0.37937,0.26537,-0.04239,-0.00444,0.00326,-0.00039,-0.73338,-27.72282,-2.56545,1.63082,-0.54812,0.13387,-0.02415,0.0028,-0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
