Pitch,Pitch Type,Times Thrown,Avg Exit Velo,Avg Exit Angle
"Bell, Charlie",ChangeUp,45,74.5,12.9
"Bell, Charlie",Fastball,70,75.4,27.1
"Bell, Charlie",FourSeamFastBall,35,76.3,44.4
"Bell, Charlie",Slider,34,80.4,23.6
"Byhre, Chris",ChangeUp,18,80.1,33.1
"Byhre, Chris",Fastball,37,68.6,22.7
"Byhre, Chris",FourSeamFastBall,14,74.5,11.3
"Curtis, Brayden",Fastball,28,85.8,19.3
"Curtis, Brayden",Slider,49,71.8,-9.3
"Dreher, Matt",Slider,11,71.0,15.9
"Gainer, Luke",Fastball,23,74.9,9.2
"Gainer, Luke",Slider,48,54.0,-10.8
"Hackmann, Joe",ChangeUp,28,86.0,7.7
"Hackmann, Joe",Fastball,18,87.7,3.0
"Hackmann, Joe",FourSeamFastBall,25,61.9,4.3
"Hackmann, Joe",Slider,24,85.2,18.0
"Ingram, Gage",Fastball,17,71.6,31.6
"Kreiling, Harrison",Fastball,39,80.1,15.0
"Kreiling, Harrison",Slider,13,66.2,-4.2
"Louthan, Ethan",Curveball,11,61.4,-54.8
"Louthan, Ethan",Cutter,24,80.7,17.3
"Louthan, Ethan",Fastball,18,84.8,15.7
"Louthan, Ethan",FourSeamFastBall,75,73.7,14.6
"Louthan, Ethan",Slider,10,88.9,-6.5
"Navin, Carter",Undefined,255,79.0,25.0
"Riedel, Caleb",ChangeUp,11,88.1,-20.3
"Riedel, Caleb",Fastball,115,76.8,29.8
"Riedel, Caleb",FourSeamFastBall,55,76.9,27.3
"Riedel, Caleb",Slider,16,79.9,8.2
"Scanlon, Nick",Fastball,12,81.0,5.0
"Scanlon, Nick",Slider,43,82.7,-15.0
"Scott, Reed",Fastball,14,46.3,-5.1
"Scott, Reed",Slider,11,87.0,30.8
