Pitcher,Pitch,Average Velo,Average Spin,Velo Score,Spin Score
"Bell, Charlie",ChangeUp,78.1,1603.0,-2.18%,-4.43%
,Fastball,85.4,2109.1,-3.24%,-1.17%
,FourSeamFastBall,85.5,2112.7,-2.24%,-0.99%
,Slider,78.5,1965.6,-0.82%,-15.9%
"Byhre, Chris",ChangeUp,81.1,1663.6,1.57%,-0.82%
,Fastball,89.1,2036.5,0.92%,-4.57%
,FourSeamFastBall,88.8,2146.5,1.53%,0.59%
,Slider,74.1,2271.9,-6.37%,-2.8%
,TwoSeamFastBall,88.8,2009.2,0.75%,-2.29%
"Curtis, Brayden",ChangeUp,79.6,1804.0,-0.23%,7.55%
,Fastball,88.3,2415.0,0.0%,13.17%
,FourSeamFastBall,88.3,2375.9,0.96%,11.35%
,Slider,79.2,2645.9,0.11%,13.2%
"Dreher, Matt",Slider,80.6,2473.0,1.96%,5.81%
,FourSeamFastBall,87.2,2419.5,-0.3%,13.39%
,Fastball,89.0,2441.5,0.84%,14.41%
,ChangeUp,84.0,2000.0,5.23%,19.24%
"Gainer, Luke",ChangeUp,76.1,2427.1,-4.68%,44.7%
,Curveball,75.9,2608.6,2.57%,24.27%
,Fastball,86.0,2106.0,-2.61%,-1.31%
,Sinker,87.2,2112.6,1.0%,4.9%
,Slider,76.9,2480.1,-2.81%,6.11%
,TwoSeamFastBall,87.3,2161.0,-0.88%,5.09%
"Hackmann, Joe",ChangeUp,79.1,1709.7,-0.88%,1.93%
,Fastball,88.0,1968.1,-0.39%,-7.77%
,FourSeamFastBall,87.1,1974.6,-0.51%,-7.46%
,Slider,77.4,2192.3,-2.18%,-6.2%
,TwoSeamFastBall,86.4,1836.9,-1.92%,-10.67%
"Ingram, Gage",FourSeamFastBall,89.5,2191.9,2.28%,2.72%
,Fastball,87.8,2093.5,-0.54%,-1.9%
,Slider,74.2,2758.7,-6.21%,18.03%
,ChangeUp,80.3,1856.5,0.62%,10.69%
,Cutter,75.9,2677.1,-7.85%,26.05%
"Kreiling, Harrison",ChangeUp,85.5,1468.0,7.15%,-12.48%
,Fastball,92.8,2175.6,5.11%,1.95%
,Slider,83.5,2444.1,5.51%,4.57%
"Louthan, Ethan",Curveball,71.7,1789.0,-3.06%,-14.77%
,Cutter,79.4,1918.2,-3.7%,-9.68%
,Fastball,84.4,2052.2,-4.39%,-3.83%
,OneSeamFastBall,79.6,1714.1,-0.04%,-0.0%
,Slider,80.1,1914.9,1.25%,-18.07%
,Splitter,75.5,1940.2,-2.5%,-7.23%
,FourSeamFastBall,83.9,1990.5,-4.08%,-6.72%
"Navin, Carter",Fastball,88.2,2135.8,-0.11%,0.08%
,Slider,79.7,2044.3,0.78%,-12.54%
,Undefined,80.6,1945.7,0.03%,0.0%
"Prosoki, Cooper",FourSeamFastBall,81.4,1870.8,-6.94%,-12.32%
,Slider,77.3,1966.7,-2.28%,-15.86%
,Fastball,83.9,1776.5,-4.96%,-16.75%
,ChangeUp,78.6,1577.9,-1.47%,-5.93%
"Riedel, Caleb",ChangeUp,78.8,1648.9,-1.25%,-1.69%
,Fastball,87.3,2199.4,-1.13%,3.06%
,FourSeamFastBall,86.8,2115.9,-0.8%,-0.84%
,Slider,75.3,2026.9,-4.83%,-13.28%
"Scanlon, Nick",Fastball,86.2,2205.3,-2.36%,3.34%
,FourSeamFastBall,87.4,2300.2,-0.07%,7.8%
,Sinker,85.6,2185.8,-0.81%,8.53%
,Slider,76.3,2246.2,-3.51%,-3.9%
,TwoSeamFastBall,87.2,2360.5,-1.06%,14.79%
"Scott, Reed",Slider,80.0,2144.4,1.17%,-8.25%
,ChangeUp,83.6,1388.3,4.71%,-17.23%
,Curveball,80.2,2101.8,8.36%,0.13%
,Fastball,88.2,2114.2,-0.1%,-0.93%
,FourSeamFastBall,87.8,2125.3,0.38%,-0.4%
,TwoSeamFastBall,87.3,1998.2,-0.94%,-2.82%
